id,Name,Lat,Lon,Distance,CC,City,State,Country,CatId,CatName,CatPluralName,CatShortName,PostalCode,isVerified,StatsCheckinsCount,StatsUsersCount,StatsTipCount,PriceTier,PriceMessage,LikesCount,Rating,RatingSignals,RatingColor,hasMenu,MenuUrl,MenuMobileUrl,SpecialsCount,PhotosCount
525eeb3811d2c49bf03e23ec,Toby's Estate Coffee,40.7399575053,-73.9908385277,3289,US,New York,NY,United States,4bf58dd8d48988d1e0931735,Coffee Shop,Coffee Shops,Coffee Shop,10010,True,6896,2951,86,1,Cheap,0,9.1,410,00B551,False,,,0,228
4f298f3a771655080994d9db,Grace Street,40.7477243284,-73.9865255356,4227,US,New York,NY,United States,4bf58dd8d48988d1e0931735,Coffee Shop,Coffee Shops,Coffee Shop,10001,True,5922,2996,79,1,Cheap,0,8.6,249,73CF42,False,,,0,305
54295f79498e5383362811c5,La Colombe Torrefaction,40.726572,-74.007039,1547,US,New York,NY,United States,4bf58dd8d48988d1e0931735,Coffee Shop,Coffee Shops,Coffee Shop,0,True,785,298,11,1,Cheap,0,7.7,19,C5DE35,False,,,0,6
54566365498e4fb5ed4fe987,Blue Bottle Coffee,40.7536171783,-73.9839584999,4916,US,New York,NY,United States,4bf58dd8d48988d1e0931735,Coffee Shop,Coffee Shops,Coffee Shop,10018,False,342,225,6,1,Cheap,0,8.2,9,73CF42,False,,,0,12
4169cd00f964a5208c1d1fe3,Freemans,40.7218110629,-73.9925122261,1518,US,New York,NY,United States,4bf58dd8d48988d14e941735,American Restaurant,American Restaurants,American,10002,True,21646,15446,316,2,Moderate,0,9.5,928,00B551,True,https://foursquare.com/v/freemans/4169cd00f964a5208c1d1fe3/menu,https://foursquare.com/v/4169cd00f964a5208c1d1fe3/device_menu,0,888
4b998a8ff964a520098235e3,ABC Kitchen,40.7376829838,-73.9897032705,3098,US,New York,NY,United States,4bf58dd8d48988d14e941735,American Restaurant,American Restaurants,American,10003,True,24281,16916,401,3,Expensive,0,9.6,1114,00B551,True,https://foursquare.com/v/abc-kitchen/4b998a8ff964a520098235e3/menu,https://foursquare.com/v/4b998a8ff964a520098235e3/device_menu,0,1196
477a3514f964a520214d1fe3,The Smith,40.7311558721,-73.9887276473,2513,US,New York,NY,United States,4bf58dd8d48988d14e941735,American Restaurant,American Restaurants,American,10003,True,40505,23329,390,3,Expensive,0,9.1,1021,00B551,True,https://foursquare.com/v/the-smith-new-york-ny/477a3514f964a520214d1fe3/menu,https://foursquare.com/v/477a3514f964a520214d1fe3/device_menu,0,873
4e73cf3a2271ffa4e63183bd,The Smith,40.7553682213,-73.9683302481,5709,US,New York,NY,United States,4bf58dd8d48988d14e941735,American Restaurant,American Restaurants,American,10022,True,25269,14392,174,3,Expensive,0,9.2,738,00B551,True,https://foursquare.com/v/the-smith/4e73cf3a2271ffa4e63183bd/menu,https://foursquare.com/v/4e73cf3a2271ffa4e63183bd/device_menu,0,794
462a6065f964a520d9451fe3,Junior's Restaurant & Bakery,40.7582127738,-73.986825943,5315,US,New York,NY,United States,4bf58dd8d48988d14e941735,American Restaurant,American Restaurants,American,10036,True,28229,20733,398,2,Moderate,0,8.9,1035,73CF42,True,https://foursquare.com/v/juniors-restaurant-bakery-new-york-ny/462a6065f964a520d9451fe3/menu,https://foursquare.com/v/462a6065f964a520d9451fe3/device_menu,0,1801
428a8580f964a52083231fe3,Hard Rock Cafe New York,40.7568840309,-73.9865630865,5181,US,New York,NY,United States,4bf58dd8d48988d14e941735,American Restaurant,American Restaurants,American,10036,True,40250,33070,382,3,Expensive,0,9.1,1929,00B551,True,https://foursquare.com/v/hard-rock-cafe-new-york/428a8580f964a52083231fe3/menu,https://foursquare.com/v/428a8580f964a52083231fe3/device_menu,0,4339
5078c4f1e4b0dad821e1f6bd,The Smith,40.7715149922,-73.9819121361,6852,US,New York,NY,United States,4bf58dd8d48988d14e941735,American Restaurant,American Restaurants,American,10023,True,14514,8999,136,3,Expensive,0,8.5,621,73CF42,True,https://foursquare.com/v/the-smith-new-york-ny/5078c4f1e4b0dad821e1f6bd/menu,https://foursquare.com/v/5078c4f1e4b0dad821e1f6bd/device_menu,0,697
3fd66200f964a52070e91ee3,Balthazar Restaurant,40.7227054927,-73.9981985092,1289,US,New York,NY,United States,4bf58dd8d48988d10c941735,French Restaurant,French Restaurants,French,10012,True,44790,27430,660,3,Expensive,0,9.5,1690,00B551,True,https://foursquare.com/v/balthazar-restaurant/3fd66200f964a52070e91ee3/menu,https://foursquare.com/v/3fd66200f964a52070e91ee3/device_menu,0,2038
5149109f011ce13c39bdadc2,Lafayette,40.7276490336,-73.9936065674,1960,US,New York,NY,United States,4bf58dd8d48988d10c941735,French Restaurant,French Restaurants,French,10003,True,10856,6993,182,3,Expensive,0,9.2,770,00B551,True,https://foursquare.com/v/lafayette/5149109f011ce13c39bdadc2/menu,https://foursquare.com/v/5149109f011ce13c39bdadc2/device_menu,0,843
4a5403b8f964a520f3b21fe3,Ippudo,40.730908562,-73.9905009823,2407,US,New York,NY,United States,4bf58dd8d48988d1d1941735,Ramen / Noodle House,Ramen / Noodle House,Ramen / Noodles,10003,True,47965,27325,769,2,Moderate,0,9.6,1887,00B551,True,https://foursquare.com/v/ippudo/4a5403b8f964a520f3b21fe3/menu,https://foursquare.com/v/4a5403b8f964a520f3b21fe3/device_menu,0,2882
4731be8af964a520244c1fe3,Momofuku Noodle Bar,40.7291104035,-73.9842454556,2583,US,New York,NY,United States,4bf58dd8d48988d1d1941735,Ramen / Noodle House,Ramen / Noodle House,Ramen / Noodles,10003,True,30146,20551,517,2,Moderate,0,9.3,1307,00B551,True,https://foursquare.com/v/momofuku-noodle-bar/4731be8af964a520244c1fe3/menu,https://foursquare.com/v/4731be8af964a520244c1fe3/device_menu,0,1927
51c24713498e97c72ea0a898,Ippudo West,40.7634161742,-73.986627171,5875,US,New York,NY,United States,4bf58dd8d48988d1d1941735,Ramen / Noodle House,Ramen / Noodle House,Ramen / Noodles,10019,False,10858,7322,245,2,Moderate,0,9.3,789,00B551,True,https://foursquare.com/v/ippudo-west/51c24713498e97c72ea0a898/menu,https://foursquare.com/v/51c24713498e97c72ea0a898/device_menu,0,1000
5367ee38498e2d56e7afd777,Ivan Ramen,40.7205528808,-73.9845094544,2005,US,New York,NY,United States,4bf58dd8d48988d1d1941735,Ramen / Noodle House,Ramen / Noodle House,Ramen / Noodles,10002,True,2959,2425,96,2,Moderate,0,8.9,220,73CF42,False,http://www.ivanramen.com/en/ivan-ramen-new-york,http://www.ivanramen.com/en/ivan-ramen-new-york,0,227
540f96aa498e036fc47f3f0d,Totto Ramen,40.7563203805,-73.9680547479,5811,US,New York,NY,United States,4bf58dd8d48988d1d1941735,Ramen / Noodle House,Ramen / Noodle House,Ramen / Noodles,10022,False,766,654,20,1,Cheap,0,8.3,28,73CF42,False,,,0,45
431e2d80f964a52079271fe3,La Esquina,40.7214492219,-73.9976137877,1198,US,New York,NY,United States,4bf58dd8d48988d1c1941735,Mexican Restaurant,Mexican Restaurants,Mexican,10012,True,33275,19447,473,3,Expensive,0,9.4,1149,00B551,True,https://foursquare.com/v/la-esquina/431e2d80f964a52079271fe3/menu,https://foursquare.com/v/431e2d80f964a52079271fe3/device_menu,0,1028
